poll_reading_id,poll_sample_id,source_document_id,source_locator,contest_type,contest_id,question_order_status,question_order,document_display_order,question_text_status,question_text,scenario_label,population,turnout_screen,turnout_screen_text,denominator_type,denominator_text,unweighted_base_status,unweighted_base,weighted_base_status,weighted_base,reported_base_status,reported_base,tested_choice_set_status,response_coverage,reported_share_unit,reported_share_precision,notes,reading_purpose
forum_2023_jun23_all,forum_city_2023_06_23_n1037,forum_2023_jun24_release,"PDF p. 3, [ALL RESPONDENTS] Total column",mayoral,toronto-mayor-2023,not_reported,,1,reported,"If there was an election for mayor of Toronto tomorrow, which candidate would you vote for?",published current field,Toronto residents age 18+,none,,all_respondents,[ALL RESPONDENTS],reported,1035,reported,1035,not_reported,,complete,complete,percent,0,"The ballot table explicitly reports TOTAL (u/w)=1,035 and TOTAL (w/t)=1,035, while release prose reports a parent sample of 1,037. The conflict is preserved rather than resolved by inference. Questionnaire order and routing are not reported; document_display_order and response option_order describe publication layout only.",general_vote_intention
forum_2023_jun23_decided_leaning,forum_city_2023_06_23_n1037,forum_2023_jun24_release,"PDF p. 6, [DECIDED/LEANING] Total column",mayoral,toronto-mayor-2023,not_reported,,2,reported,"If there was an election for mayor of Toronto tomorrow, which candidate would you vote for? + Even though you may not have made up your mind, which candidate are you leaning towards voting for at this time?",published current field,Toronto residents age 18+,none,,custom,[DECIDED/LEANING],reported,977,reported,967,not_reported,,complete,partial,percent,0,Five named candidates shown in the all-respondent table are known to have been offered but are not individually published here. Reading-level bases follow the table despite the parent-sample conflict. Questionnaire order and routing are not reported; document_display_order and response option_order describe publication layout only.,general_vote_intention
liaison_2023_04_21_22_all,liaison_city_2023_04_21_22_n1264,liaison_2023_04_21_22_tables,"page 5, all-voter table, All column; page 4 chart cross-check",mayoral,toronto-mayor-2023,not_reported,,1,reported,"If an election were held today, for whom would you cast your vote for Mayor?",,Torontonians screened for voter eligibility,eligible_voters,Respondents were screened for voter eligibility.,all_respondents,All Voters,reported,1264,reported,1264,not_reported,,unknown,complete,percent,0,"Preferred detailed-report reading from the public viewer. Exact question wording, voter-eligibility screen, displayed shares, and document option order are preserved. The table explicitly prints equal total-column unweighted and weighted bases. Questionnaire order and the complete tested/rotated choice set remain unknown. The other reading is dependent on this one through the shared respondent sample.",general_vote_intention
liaison_2023_04_21_22_decided,liaison_city_2023_04_21_22_n1264,liaison_2023_04_21_22_tables,"page 7, decided-only trend table, latest fieldwork column; page 6 chart cross-check",mayoral,toronto-mayor-2023,not_reported,,2,reported,"If an election were held today, for whom would you cast your vote for Mayor?",,Torontonians screened for voter eligibility,eligible_voters,Respondents were screened for voter eligibility.,decided_respondents,Decided Only,not_reported,,not_reported,,not_reported,,unknown,complete,percent,0,"Preferred detailed-report reading from the public viewer. Exact question wording, voter-eligibility screen, displayed shares, and document option order are preserved. The report does not print a decided-voter reading base, so no base is inferred. Questionnaire order and the complete tested/rotated choice set remain unknown. The other reading is dependent on this one through the shared respondent sample.",general_vote_intention
liaison_2023_04_28_29_all,liaison_city_2023_04_28_29_n1253,liaison_2023_04_28_29_tables,"page 5, all-voter table, All column; page 4 chart cross-check",mayoral,toronto-mayor-2023,not_reported,,1,reported,"If an election were held today, for whom would you cast your vote for Mayor?",,Torontonians screened for voter eligibility,eligible_voters,Respondents were screened for voter eligibility.,all_respondents,All Voters,reported,1253,reported,1253,not_reported,,unknown,complete,percent,0,"Preferred detailed-report reading from the public viewer. Exact question wording, voter-eligibility screen, displayed shares, and document option order are preserved. The table explicitly prints equal total-column unweighted and weighted bases. Questionnaire order and the complete tested/rotated choice set remain unknown. The other reading is dependent on this one through the shared respondent sample.",general_vote_intention
liaison_2023_04_28_29_decided,liaison_city_2023_04_28_29_n1253,liaison_2023_04_28_29_tables,"page 7, decided-only trend table, latest fieldwork column; page 6 chart cross-check",mayoral,toronto-mayor-2023,not_reported,,2,reported,"If an election were held today, for whom would you cast your vote for Mayor?",,Torontonians screened for voter eligibility,eligible_voters,Respondents were screened for voter eligibility.,decided_respondents,Decided Only,not_reported,,not_reported,,not_reported,,unknown,complete,percent,0,"Preferred detailed-report reading from the public viewer. Exact question wording, voter-eligibility screen, displayed shares, and document option order are preserved. The report does not print a decided-voter reading base, so no base is inferred. Questionnaire order and the complete tested/rotated choice set remain unknown. The other reading is dependent on this one through the shared respondent sample.",general_vote_intention
liaison_2023_05_05_06_all,liaison_city_2023_05_05_06_n1257,liaison_2023_05_05_06_tables,"page 4, all-voter table, All column; page 3 chart cross-check",mayoral,toronto-mayor-2023,not_reported,,1,reported,"If an election were held today, for whom would you cast your vote for Mayor?",,Torontonians screened for voter eligibility,eligible_voters,Respondents were screened for voter eligibility.,all_respondents,All Voters,reported,1257,reported,1257,not_reported,,unknown,complete,percent,0,"Preferred detailed-report reading from the public viewer. Exact question wording, voter-eligibility screen, displayed shares, and document option order are preserved. The table explicitly prints equal total-column unweighted and weighted bases. Questionnaire order and the complete tested/rotated choice set remain unknown. The other reading is dependent on this one through the shared respondent sample.",general_vote_intention
liaison_2023_05_05_06_decided,liaison_city_2023_05_05_06_n1257,liaison_2023_05_05_06_tables,"page 6, decided-only trend table, latest fieldwork column; page 5 chart cross-check",mayoral,toronto-mayor-2023,not_reported,,2,reported,"If an election were held today, for whom would you cast your vote for Mayor?",,Torontonians screened for voter eligibility,eligible_voters,Respondents were screened for voter eligibility.,decided_respondents,Decided Only,not_reported,,not_reported,,not_reported,,unknown,complete,percent,0,"Preferred detailed-report reading from the public viewer. Exact question wording, voter-eligibility screen, displayed shares, and document option order are preserved. The report does not print a decided-voter reading base, so no base is inferred. Questionnaire order and the complete tested/rotated choice set remain unknown. The other reading is dependent on this one through the shared respondent sample.",general_vote_intention
liaison_2023_05_12_13_all,liaison_city_2023_05_12_13_n1318,liaison_2023_05_12_13_tables,"page 4, all-voter table, All column; page 3 chart cross-check",mayoral,toronto-mayor-2023,not_reported,,1,reported,"If an election were held today, for whom would you cast your vote for Mayor?",,Torontonians screened for voter eligibility,eligible_voters,Respondents were screened for voter eligibility.,all_respondents,All Voters,reported,1318,reported,1318,not_reported,,unknown,complete,percent,0,"Preferred detailed-report reading from the public viewer. Exact question wording, voter-eligibility screen, displayed shares, and document option order are preserved. The table explicitly prints equal total-column unweighted and weighted bases. Questionnaire order and the complete tested/rotated choice set remain unknown. The other reading is dependent on this one through the shared respondent sample.",general_vote_intention
liaison_2023_05_12_13_decided,liaison_city_2023_05_12_13_n1318,liaison_2023_05_12_13_tables,"page 6, decided-only trend table, latest fieldwork column; page 5 chart cross-check",mayoral,toronto-mayor-2023,not_reported,,2,reported,"If an election were held today, for whom would you cast your vote for Mayor?",,Torontonians screened for voter eligibility,eligible_voters,Respondents were screened for voter eligibility.,decided_respondents,Decided Only,not_reported,,not_reported,,not_reported,,unknown,complete,percent,0,"Preferred detailed-report reading from the public viewer. Exact question wording, voter-eligibility screen, displayed shares, and document option order are preserved. The report does not print a decided-voter reading base, so no base is inferred. Questionnaire order and the complete tested/rotated choice set remain unknown. The other reading is dependent on this one through the shared respondent sample.",general_vote_intention
liaison_2023_05_17_18_all,liaison_city_2023_05_17_18_n1311,liaison_2023_05_17_18_tables,"page 4, all-voter table, All column; page 3 chart cross-check",mayoral,toronto-mayor-2023,not_reported,,1,reported,"If an election were held today, for whom would you cast your vote for Mayor?",,Torontonians screened for voter eligibility,eligible_voters,Respondents were screened for voter eligibility.,all_respondents,All Voters,reported,1311,reported,1311,not_reported,,unknown,complete,percent,0,"Preferred detailed-report reading from the public viewer. Exact question wording, voter-eligibility screen, displayed shares, and document option order are preserved. The table explicitly prints equal total-column unweighted and weighted bases. Questionnaire order and the complete tested/rotated choice set remain unknown. The other reading is dependent on this one through the shared respondent sample.",general_vote_intention
liaison_2023_05_17_18_decided,liaison_city_2023_05_17_18_n1311,liaison_2023_05_17_18_tables,"page 6, decided-only trend table, latest fieldwork column; page 5 chart cross-check",mayoral,toronto-mayor-2023,not_reported,,2,reported,"If an election were held today, for whom would you cast your vote for Mayor?",,Torontonians screened for voter eligibility,eligible_voters,Respondents were screened for voter eligibility.,decided_respondents,Decided Only,not_reported,,not_reported,,not_reported,,unknown,complete,percent,0,"Preferred detailed-report reading from the public viewer. Exact question wording, voter-eligibility screen, displayed shares, and document option order are preserved. The report does not print a decided-voter reading base, so no base is inferred. Questionnaire order and the complete tested/rotated choice set remain unknown. The other reading is dependent on this one through the shared respondent sample.",general_vote_intention
liaison_2023_05_26_27_all,liaison_city_2023_05_26_27_n1305,liaison_2023_05_26_27_tables,"page 4, all-voter table, All column; page 3 chart cross-check",mayoral,toronto-mayor-2023,not_reported,,1,reported,"If an election were held today, for whom would you cast your vote for Mayor?",,Torontonians screened for voter eligibility,eligible_voters,Respondents were screened for voter eligibility.,all_respondents,All Voters,reported,1305,reported,1305,not_reported,,unknown,complete,percent,0,"Preferred detailed-report reading from the public viewer. Exact question wording, voter-eligibility screen, displayed shares, and document option order are preserved. The table explicitly prints equal total-column unweighted and weighted bases. Questionnaire order and the complete tested/rotated choice set remain unknown. The other reading is dependent on this one through the shared respondent sample.",general_vote_intention
liaison_2023_05_26_27_decided,liaison_city_2023_05_26_27_n1305,liaison_2023_05_26_27_tables,"page 6, decided-only trend table, latest fieldwork column; page 5 chart cross-check",mayoral,toronto-mayor-2023,not_reported,,2,reported,"If an election were held today, for whom would you cast your vote for Mayor?",,Torontonians screened for voter eligibility,eligible_voters,Respondents were screened for voter eligibility.,decided_respondents,Decided Only,not_reported,,not_reported,,not_reported,,unknown,complete,percent,0,"Preferred detailed-report reading from the public viewer. Exact question wording, voter-eligibility screen, displayed shares, and document option order are preserved. The report does not print a decided-voter reading base, so no base is inferred. Questionnaire order and the complete tested/rotated choice set remain unknown. The other reading is dependent on this one through the shared respondent sample.",general_vote_intention
liaison_2023_06_03_04_all,liaison_city_2023_06_03_04_n1287,liaison_2023_06_03_04_tables,"page 4, all-voter table, All column; page 3 chart cross-check",mayoral,toronto-mayor-2023,not_reported,,1,reported,"If an election were held today, for whom would you cast your vote for Mayor?",,Torontonians screened for voter eligibility,eligible_voters,Respondents were screened for voter eligibility.,all_respondents,All Voters,reported,1287,reported,1287,not_reported,,unknown,complete,percent,0,"Preferred detailed-report reading from the public viewer. Exact question wording, voter-eligibility screen, displayed shares, and document option order are preserved. The table explicitly prints equal total-column unweighted and weighted bases. Questionnaire order and the complete tested/rotated choice set remain unknown. The other reading is dependent on this one through the shared respondent sample.",general_vote_intention
liaison_2023_06_03_04_decided,liaison_city_2023_06_03_04_n1287,liaison_2023_06_03_04_tables,"page 6, decided-only trend table, latest fieldwork column; page 5 chart cross-check",mayoral,toronto-mayor-2023,not_reported,,2,reported,"If an election were held today, for whom would you cast your vote for Mayor?",,Torontonians screened for voter eligibility,eligible_voters,Respondents were screened for voter eligibility.,decided_respondents,Decided Only,not_reported,,not_reported,,not_reported,,unknown,complete,percent,0,"Preferred detailed-report reading from the public viewer. Exact question wording, voter-eligibility screen, displayed shares, and document option order are preserved. The report does not print a decided-voter reading base, so no base is inferred. Questionnaire order and the complete tested/rotated choice set remain unknown. The other reading is dependent on this one through the shared respondent sample.",general_vote_intention
liaison_2023_06_10_11_all,liaison_city_2023_06_10_11_n1197,liaison_2023_06_10_11_tables,"page 4, all-voter table, All column; page 3 chart cross-check",mayoral,toronto-mayor-2023,not_reported,,1,reported,"If an election were held today, for whom would you cast your vote for Mayor?",,Torontonians screened for voter eligibility,eligible_voters,Respondents were screened for voter eligibility.,all_respondents,All Voters,reported,1197,reported,1197,not_reported,,unknown,complete,percent,0,"Preferred detailed-report reading from the public viewer. Exact question wording, voter-eligibility screen, displayed shares, and document option order are preserved. The table explicitly prints equal total-column unweighted and weighted bases. Questionnaire order and the complete tested/rotated choice set remain unknown. The other reading is dependent on this one through the shared respondent sample.",general_vote_intention
liaison_2023_06_10_11_decided,liaison_city_2023_06_10_11_n1197,liaison_2023_06_10_11_tables,"page 6, decided-only trend table, latest fieldwork column; page 5 chart cross-check",mayoral,toronto-mayor-2023,not_reported,,2,reported,"If an election were held today, for whom would you cast your vote for Mayor?",,Torontonians screened for voter eligibility,eligible_voters,Respondents were screened for voter eligibility.,decided_respondents,Decided Only,not_reported,,not_reported,,not_reported,,unknown,complete,percent,0,"Preferred detailed-report reading from the public viewer. Exact question wording, voter-eligibility screen, displayed shares, and document option order are preserved. The report does not print a decided-voter reading base, so no base is inferred. Questionnaire order and the complete tested/rotated choice set remain unknown. The other reading is dependent on this one through the shared respondent sample.",general_vote_intention
liaison_2023_06_12_13_all,liaison_city_2023_06_12_13_n1156,liaison_2023_06_12_13_tables,"page 4, all-voter table, All column; page 3 chart cross-check",mayoral,toronto-mayor-2023,not_reported,,1,reported,"If an election were held today, for whom would you cast your vote for Mayor?",,Torontonians screened for voter eligibility,eligible_voters,Respondents were screened for voter eligibility.,all_respondents,All Voters,reported,1156,reported,1156,not_reported,,unknown,complete,percent,0,"Preferred detailed-report reading from the public viewer. Exact question wording, voter-eligibility screen, displayed shares, and document option order are preserved. The table explicitly prints equal total-column unweighted and weighted bases. Questionnaire order and the complete tested/rotated choice set remain unknown. The other reading is dependent on this one through the shared respondent sample.",general_vote_intention
liaison_2023_06_12_13_decided,liaison_city_2023_06_12_13_n1156,liaison_2023_06_12_13_tables,"page 6, decided-only trend table, latest fieldwork column; page 5 chart cross-check",mayoral,toronto-mayor-2023,not_reported,,2,reported,"If an election were held today, for whom would you cast your vote for Mayor?",,Torontonians screened for voter eligibility,eligible_voters,Respondents were screened for voter eligibility.,decided_respondents,Decided Only,not_reported,,not_reported,,not_reported,,unknown,complete,percent,0,"Preferred detailed-report reading from the public viewer. Exact question wording, voter-eligibility screen, displayed shares, and document option order are preserved. The report does not print a decided-voter reading base, so no base is inferred. Questionnaire order and the complete tested/rotated choice set remain unknown. The other reading is dependent on this one through the shared respondent sample.",general_vote_intention
liaison_2023_06_17_18_all,liaison_city_2023_06_17_18_n1152,liaison_2023_06_17_18_tables,"page 4, all-voter table, All column; page 3 chart cross-check",mayoral,toronto-mayor-2023,not_reported,,1,reported,"If an election were held today, for whom would you cast your vote for Mayor?",,Torontonians screened for voter eligibility,eligible_voters,Respondents were screened for voter eligibility.,all_respondents,All Voters,reported,1152,reported,1152,not_reported,,unknown,complete,percent,0,"Preferred detailed-report reading from the public viewer. Exact question wording, voter-eligibility screen, displayed shares, and document option order are preserved. The table explicitly prints equal total-column unweighted and weighted bases. Questionnaire order and the complete tested/rotated choice set remain unknown. The other reading is dependent on this one through the shared respondent sample.",general_vote_intention
liaison_2023_06_17_18_decided,liaison_city_2023_06_17_18_n1152,liaison_2023_06_17_18_tables,"page 6, decided-only trend table, latest fieldwork column; page 5 chart cross-check",mayoral,toronto-mayor-2023,not_reported,,2,reported,"If an election were held today, for whom would you cast your vote for Mayor?",,Torontonians screened for voter eligibility,eligible_voters,Respondents were screened for voter eligibility.,decided_respondents,Decided Only,not_reported,,not_reported,,not_reported,,unknown,complete,percent,0,"Preferred detailed-report reading from the public viewer. Exact question wording, voter-eligibility screen, displayed shares, and document option order are preserved. The report does not print a decided-voter reading base, so no base is inferred. Questionnaire order and the complete tested/rotated choice set remain unknown. The other reading is dependent on this one through the shared respondent sample.",general_vote_intention
liaison_2023_06_22_23_all,liaison_city_2023_06_22_23_n1086,liaison_2023_06_22_23_tables,"page 4, all-voter table, All column; page 3 chart cross-check",mayoral,toronto-mayor-2023,not_reported,,1,reported,"If an election were held today, for whom would you cast your vote for Mayor?",,Torontonians screened for voter eligibility,eligible_voters,Respondents were screened for voter eligibility.,all_respondents,All Voters,reported,1086,reported,1086,not_reported,,unknown,complete,percent,0,"Preferred detailed-report reading from the public viewer. Exact question wording, voter-eligibility screen, displayed shares, and document option order are preserved. The table explicitly prints equal total-column unweighted and weighted bases. Questionnaire order and the complete tested/rotated choice set remain unknown. The other reading is dependent on this one through the shared respondent sample.",general_vote_intention
liaison_2023_06_22_23_decided,liaison_city_2023_06_22_23_n1086,liaison_2023_06_22_23_tables,"page 6, decided-only trend table, latest fieldwork column; page 5 chart cross-check",mayoral,toronto-mayor-2023,not_reported,,2,reported,"If an election were held today, for whom would you cast your vote for Mayor?",,Torontonians screened for voter eligibility,eligible_voters,Respondents were screened for voter eligibility.,decided_respondents,Decided Only,not_reported,,not_reported,,not_reported,,unknown,complete,percent,0,"Preferred detailed-report reading from the public viewer. Exact question wording, voter-eligibility screen, displayed shares, and document option order are preserved. The report does not print a decided-voter reading base, so no base is inferred. Questionnaire order and the complete tested/rotated choice set remain unknown. The other reading is dependent on this one through the shared respondent sample.",general_vote_intention
mainstreet_2023_feb14_all,mainstreet_city_2023_02_13_14_n1947,mainstreet_2023-02-14_report,physical pages 3-4; Total column on page 4,mayoral,toronto-mayor-2023,not_reported,,1,reported,"If the mayoral election were held today, which candidate would you vote for?",All voters,Adults age 18 or older living in Toronto,none,,all_respondents,All voters,reported,1947,reported,1947,not_reported,,complete,complete,percent,1,"No questionnaire order is inferred. Response option_order preserves the report's Total-table row order, not IVR presentation order. The source values sum to 99.9% through rounding and are not rescaled.",general_vote_intention
mainstreet_2023_feb19_all,mainstreet_city_2023_02_19_n1701,mainstreet_2023-02-19_report,physical pages 3-4; Total column on page 4,mayoral,toronto-mayor-2023,not_reported,,1,reported,"If the mayoral election were held today, which candidate would you vote for?",All voters,Adults age 18 or older living in Toronto,none,,all_respondents,All voters,reported,1701,reported,1701,not_reported,,complete,complete,percent,1,"No questionnaire order is inferred. Response option_order preserves the report's Total-table row order, not IVR presentation order. The source values sum to 99.9% through rounding and are not rescaled.",general_vote_intention
mainstreet_2023_mar19_all,mainstreet_city_2023_03_17_19_n985,mainstreet_2023-03-19_report,physical pages 3-4; Total column on page 4,mayoral,toronto-mayor-2023,not_reported,,1,reported,"If the mayoral election were held today, which candidate would you vote for?",All voters,Adults age 18 or older living in Toronto,none,,all_respondents,All voters,reported,985,reported,985,not_reported,,complete,complete,percent,1,"One of two dependent mayoral ballot fields from the same respondent sample. No questionnaire order is inferred. Response option_order preserves the report's Total-table row order, not IVR presentation order.",general_vote_intention
mainstreet_2023_mar19_named_field_all,mainstreet_city_2023_03_17_19_n985,mainstreet_2023-03-19_report,physical pages 6-7; Total column on page 7,mayoral,toronto-mayor-2023,not_reported,,2,reported,Among just the following candidates how would you vote or are leaning towards if an election for mayor of Toronto were held tomorrow?,Restricted named-candidate field; all voters,Adults age 18 or older living in Toronto,none,,all_respondents,All voters,reported,985,reported,985,not_reported,,complete,complete,percent,1,"Dependent alternate candidate-field reading from the same respondent sample as mainstreet_2023_mar19_all. No questionnaire order is inferred. Response option_order preserves the report's Total-table row order, not IVR presentation order. The source values sum to 100.1% through rounding and are not rescaled.",general_vote_intention
mainstreet_2023_apr13_all,mainstreet_city_2023_04_12_13_n785,mainstreet_2023-04-13_report,physical pages 3-4; Total column on page 4,mayoral,toronto-mayor-2023,not_reported,,1,reported,"If the mayoral election were held today, which candidate would you vote for?",All voters,Adults age 18 or older living in Toronto,none,,all_respondents,All voters,reported,785,reported,785,not_reported,,complete,complete,percent,1,"Main all-voter ballot from a sample that also produced a routed no-Chow alternate ballot. No questionnaire order is inferred. Response option_order preserves the report's Total-table row order, not IVR presentation order. The source values sum to 99.9% through rounding and are not rescaled.",general_vote_intention
mainstreet_2023_apr13_no_chow,mainstreet_city_2023_04_12_13_n785,mainstreet_2023-04-13_report,physical pages 7-8; routed Total column on page 8,mayoral,toronto-mayor-2023,not_reported,,2,reported,"[Olivia Chow voters] You selected Olivia Chow, if Olivia Chow were not to run in the mayoral election which candidate would you vote for?",Olivia Chow absent; routed alternate ballot,Adults age 18 or older living in Toronto,none,,custom,Respondents who selected Olivia Chow on the preceding mayoral ballot,reported,112,reported,112,not_reported,,complete,complete,percent,1,Dependent routed alternate ballot among 112 respondents from the same recruited sample as mainstreet_2023_apr13_all. The report suffixes the chart '(All voters)' despite the explicit Olivia Chow-voter routing and 112 base; the actual routed denominator is preserved. No questionnaire order is inferred. Response option_order preserves Total-table row order.,routed_subgroup
mainstreet_2023_apr20_all,mainstreet_city_2023_04_17_19_n1082,mainstreet_2023-04-20_report,physical pages 3-4; Total column on page 4,mayoral,toronto-mayor-2023,not_reported,,1,reported,"If the mayoral election were held today, which candidate would you vote for?",All voters,Adults age 18 or older living in Toronto,none,,all_respondents,All voters,reported,1082,reported,1082,not_reported,,complete,complete,percent,1,One of three dependent products from this respondent sample. No questionnaire order is inferred. Response option_order preserves Total-table row order. The all-voter and source-labelled Decided and Undecided products are identical as published; both are retained without silently deduplicating source evidence.,general_vote_intention
mainstreet_2023_apr20_decided_undecided,mainstreet_city_2023_04_17_19_n1082,mainstreet_2023-04-20_report,physical pages 6-7; Total column on page 7,mayoral,toronto-mayor-2023,not_reported,,2,reported,"If the mayoral election were held today, which candidate would you vote for?",Decided and Undecided,Adults age 18 or older living in Toronto,none,,all_respondents,Decided and Undecided,reported,1082,reported,1082,not_reported,,complete,complete,percent,1,Dependent source-labelled product from the same sample. It is numerically identical to the all-voter product as published; retained to preserve the report rather than assuming a correction. No questionnaire order is inferred. Response option_order preserves Total-table row order.,general_vote_intention
mainstreet_2023_apr20_decided,mainstreet_city_2023_04_17_19_n1082,mainstreet_2023-04-20_report,physical pages 9-10; Total column on page 10,mayoral,toronto-mayor-2023,not_reported,,3,reported,"If the mayoral election were held today, which candidate would you vote for?",Decided voters,Adults age 18 or older living in Toronto,none,,decided_respondents,Decided voters,reported,763,reported,763,not_reported,,complete,complete,percent,1,Dependent decided-voter product from the same respondent sample. No questionnaire order is inferred. Response option_order preserves Total-table row order. The source values sum to 99.9% through rounding and are not rescaled.,general_vote_intention
mainstreet_2023_apr26_all,mainstreet_city_2023_04_25_26_n996,mainstreet_2023-04-26_report,physical pages 3-4; Total column on page 4,mayoral,toronto-mayor-2023,not_reported,,1,reported,"If the mayoral election were held today, which candidate would you vote for?",All voters,Adults age 18 or older living in Toronto,none,,all_respondents,All voters,reported,996,reported,996,not_reported,,complete,complete,percent,1,One of three dependent products from this respondent sample. No questionnaire order is inferred. Response option_order preserves Total-table row order.,general_vote_intention
mainstreet_2023_apr26_decided_undecided,mainstreet_city_2023_04_25_26_n996,mainstreet_2023-04-26_report,physical pages 6-7; Total column on page 7,mayoral,toronto-mayor-2023,not_reported,,2,reported,"If the mayoral election were held today, which candidate would you vote for?",Decided and Undecided,Adults age 18 or older living in Toronto,none,,all_respondents,Decided and Undecided,reported,996,reported,996,not_reported,,complete,complete,percent,1,Dependent source-labelled product from the same sample. No questionnaire order is inferred. Response option_order preserves Total-table row order. The source values sum to 100.1% through rounding and are not rescaled.,general_vote_intention
mainstreet_2023_apr26_decided,mainstreet_city_2023_04_25_26_n996,mainstreet_2023-04-26_report,physical pages 9-10; Total column on page 10,mayoral,toronto-mayor-2023,not_reported,,3,reported,"If the mayoral election were held today, which candidate would you vote for?",Decided voters,Adults age 18 or older living in Toronto,none,,decided_respondents,Decided voters,reported,794,reported,794,not_reported,,complete,complete,percent,1,Dependent decided-voter product from the same respondent sample. No questionnaire order is inferred. Response option_order preserves Total-table row order.,general_vote_intention
forum_2014_apr14_three_way,forum_city_2014_04_14_n882,forum_2014_apr15_release,"PDF p. 9, [All Respondents] Total column",mayoral,toronto-mayor-2014,not_reported,,1,reported,"If a mayoral election were held today, who would you vote for if the candidates were Rob Ford, John Tory and Olivia Chow?",three-candidate Rob Ford field,Toronto voters age 18+,none,,all_respondents,[All Respondents],not_reported,,not_reported,,reported,882,complete,complete,percent,0,Source-published values and response labels are preserved without normalization. Questionnaire order and routing are not reported; display order and option order describe publication layout only.,general_vote_intention
forum_2014_apr14_four_way_no_ford,forum_city_2014_04_14_n882,forum_2014_apr15_release,"PDF p. 12, [All Respondents] Total column",mayoral,toronto-mayor-2014,not_reported,,2,reported,"If a mayoral election were held today, who would you vote for if the candidates were John Tory, Olivia Chow, Karen Stintz and David Soknacki?",four-candidate field without a Ford,Toronto voters age 18+,none,,all_respondents,[All Respondents],not_reported,,not_reported,,reported,882,complete,complete,percent,0,Source-published values and response labels are preserved without normalization. Questionnaire order and routing are not reported; display order and option order describe publication layout only.,general_vote_intention
forum_2014_apr14_five_way_rob,forum_city_2014_04_14_n882,forum_2014_apr15_release,"PDF p. 15, [All Respondents] Total column",mayoral,toronto-mayor-2014,not_reported,,3,reported,"If a mayoral election were held today, who would you vote for if the candidates were Rob Ford, Karen Stintz, John Tory, Olivia Chow and David Soknacki?",five-candidate Rob Ford field,Toronto voters age 18+,none,,all_respondents,[All Respondents],not_reported,,not_reported,,reported,882,complete,complete,percent,0,Source-published values and response labels are preserved without normalization. Questionnaire order and routing are not reported; display order and option order describe publication layout only.,general_vote_intention
forum_2014_may01_three_way,forum_city_2014_05_01_n888,forum_2014_may02_release,"PDF p. 17, [All Respondents] Total column",mayoral,toronto-mayor-2014,not_reported,,1,reported,"If a mayoral election were held today, who would you vote for if the candidates were Rob Ford, John Tory and Olivia Chow?",three-candidate Rob Ford field,Toronto voters age 18+,none,,all_respondents,[All Respondents],not_reported,,not_reported,,reported,888,complete,complete,percent,0,Source-published values and response labels are preserved without normalization. Questionnaire order and routing are not reported; display order and option order describe publication layout only.,general_vote_intention
forum_2014_may01_four_way_no_ford,forum_city_2014_05_01_n888,forum_2014_may02_release,"PDF p. 19, [All Respondents] Total column",mayoral,toronto-mayor-2014,not_reported,,2,reported,"If a mayoral election were held today, who would you vote for if the candidates were John Tory, Olivia Chow, Karen Stintz and David Soknacki?",four-candidate field without a Ford,Toronto voters age 18+,none,,all_respondents,[All Respondents],not_reported,,not_reported,,reported,888,complete,complete,percent,0,Source-published values and response labels are preserved without normalization. Questionnaire order and routing are not reported; display order and option order describe publication layout only.,general_vote_intention
forum_2014_may01_five_way_rob,forum_city_2014_05_01_n888,forum_2014_may02_release,"PDF p. 22, [All Respondents] Total column",mayoral,toronto-mayor-2014,not_reported,,3,reported,"If a mayoral election were held today, who would you vote for if the candidates were Rob Ford, Olivia Chow, Karen Stintz, John Tory and David Soknacki?",five-candidate Rob Ford field,Toronto voters age 18+,none,,all_respondents,[All Respondents],not_reported,,not_reported,,reported,888,complete,complete,percent,0,Source-published values and response labels are preserved without normalization. Questionnaire order and routing are not reported; display order and option order describe publication layout only.,general_vote_intention
forum_2014_may21_five_way_rob,forum_city_2014_05_21_n923,forum_2014_may21_release,"PDF p. 8, [All Respondents] Total column",mayoral,toronto-mayor-2014,not_reported,,1,reported,"If a mayoral election were held today, who would you vote for if the candidates were Rob Ford , Karen Stintz, John Tory, Olivia Chow, and David Soknacki?",five-candidate Rob Ford field,Toronto voters age 18+,none,,all_respondents,[All Respondents],not_reported,,not_reported,,reported,923,complete,complete,percent,0,Source-published values and response labels are preserved without normalization. Questionnaire order and routing are not reported; display order and option order describe publication layout only.,general_vote_intention
forum_2014_may21_five_way_doug,forum_city_2014_05_21_n923,forum_2014_may21_release,"PDF p. 11, [All Respondents] Total column",mayoral,toronto-mayor-2014,not_reported,,2,reported,"If a mayoral election were held today, who would you vote for if the candidates were Doug Ford, Karen Stintz, John Tory, Olivia Chow, and David Soknacki?",five-candidate Doug Ford field,Toronto voters age 18+,none,,all_respondents,[All Respondents],not_reported,,not_reported,,reported,923,complete,complete,percent,0,Source-published values and response labels are preserved without normalization. Questionnaire order and routing are not reported; display order and option order describe publication layout only.,general_vote_intention
